id,publication_year,cited_by_count,author_ids
https://openalex.org/W3194933758,2021,18,"https://openalex.org/A5060121586, https://openalex.org/A5036010787, https://openalex.org/A5001174680, https://openalex.org/A5048877432, https://openalex.org/A5066187890, https://openalex.org/A5069671758, https://openalex.org/A5001227032"
https://openalex.org/W2159128481,2013,23,"https://openalex.org/A5033797206, https://openalex.org/A5063995659, https://openalex.org/A5009589984, https://openalex.org/A5036876399, https://openalex.org/A5050220294"
https://openalex.org/W1829930258,2014,22,"https://openalex.org/A5012748201, https://openalex.org/A5033797206, https://openalex.org/A5090127070, https://openalex.org/A5012188684, https://openalex.org/A5009589984"
https://openalex.org/W2339421184,2016,22,"https://openalex.org/A5001174680, https://openalex.org/A5066187890, https://openalex.org/A5024106454"
https://openalex.org/W4295134803,2022,11,"https://openalex.org/A5030298064, https://openalex.org/A5001174680, https://openalex.org/A5001227032, https://openalex.org/A5066187890"
https://openalex.org/W2782973629,2018,20,"https://openalex.org/A5022003705, https://openalex.org/A5001174680, https://openalex.org/A5066187890"
https://openalex.org/W2079573847,2012,19,"https://openalex.org/A5050220294, https://openalex.org/A5033797206, https://openalex.org/A5020236649, https://openalex.org/A5063995659, https://openalex.org/A5036876399"
https://openalex.org/W2613373733,2017,17,"https://openalex.org/A5032648713, https://openalex.org/A5108143968, https://openalex.org/A5020729425, https://openalex.org/A5066187890"
https://openalex.org/W2088406278,2013,15,"https://openalex.org/A5033797206, https://openalex.org/A5063995659, https://openalex.org/A5036876399, https://openalex.org/A5039482178, https://openalex.org/A5064234632, https://openalex.org/A5029106234"
https://openalex.org/W3196928338,2021,12,"https://openalex.org/A5001227032, https://openalex.org/A5079321250, https://openalex.org/A5066187890"
https://openalex.org/W2990319756,2019,12,"https://openalex.org/A5033797206, https://openalex.org/A5044187839, https://openalex.org/A5063995659"
https://openalex.org/W2766235883,2017,11,"https://openalex.org/A5033797206, https://openalex.org/A5046715167, https://openalex.org/A5063995659"
https://openalex.org/W2893979288,2018,11,"https://openalex.org/A5022003705, https://openalex.org/A5059525247, https://openalex.org/A5021253678, https://openalex.org/A5062348600, https://openalex.org/A5066187890"
https://openalex.org/W2019508405,2006,17,"https://openalex.org/A5102961826, https://openalex.org/A5010691256"
https://openalex.org/W1494920304,2010,11,"https://openalex.org/A5031667150, https://openalex.org/A5066187890"
https://openalex.org/W1985366302,2010,11,"https://openalex.org/A5090547558, https://openalex.org/A5033797206, https://openalex.org/A5029106234, https://openalex.org/A5082025709, https://openalex.org/A5036876399, https://openalex.org/A5074036780"
https://openalex.org/W2103635041,2006,11,"https://openalex.org/A5033797206, https://openalex.org/A5016180635, https://openalex.org/A5013103539, https://openalex.org/A5082849720"
https://openalex.org/W2047940964,2004,6955,"https://openalex.org/A5014647140, https://openalex.org/A5067142016, https://openalex.org/A5008033989"
https://openalex.org/W2061099285,2010,927,"https://openalex.org/A5069948947, https://openalex.org/A5078253058, https://openalex.org/A5014647140"
https://openalex.org/W2095072199,2005,795,https://openalex.org/A5014647140
https://openalex.org/W2102017123,2015,514,"https://openalex.org/A5014647140, https://openalex.org/A5027903946, https://openalex.org/A5027079032"
https://openalex.org/W2585057539,2017,228,"https://openalex.org/A5014647140, https://openalex.org/A5027079032, https://openalex.org/A5056242621"
https://openalex.org/W2074562205,2014,204,"https://openalex.org/A5110544572, https://openalex.org/A5014647140"
